MEASURE USED:
value= max/count;
max=10000;
count= lru index;

hit rate = 5.893181422423444


max value is 40166.0
item	value	weight	take
686	14.0	49	false
687	14.0	13	false
688	14.0	6	false
689	14.0	35	false
690	14.0	27	false
691	14.0	26	false
692	14.0	48	false
693	14.0	48	false
694	14.0	38	false
695	14.0	11	false
696	14.0	28	false
697	14.0	2	false
698	14.0	36	false
699	14.0	2	false
700	14.0	14	false
701	14.0	33	false
702	14.0	46	false
703	14.0	20	false
704	14.0	16	false
705	14.0	40	false
706	14.0	24	false
707	14.0	39	false
708	14.0	39	false
709	14.0	8	false
710	14.0	25	false
711	14.0	27	false
712	14.0	35	false
713	14.0	46	false
714	14.0	6	false
715	13.0	45	false
716	13.0	6	false
717	13.0	13	false
718	13.0	11	false
719	13.0	19	false
720	13.0	13	false
721	13.0	22	false
722	13.0	25	false
723	13.0	15	false
724	13.0	3	false
725	13.0	48	false
726	13.0	49	false
727	13.0	21	false
728	13.0	11	false
729	13.0	23	false
730	13.0	14	false
731	13.0	39	false
732	13.0	15	false
733	13.0	21	false
734	13.0	47	false
735	13.0	48	false
736	13.0	25	false
737	13.0	34	false
738	13.0	49	false
739	13.0	42	false
740	13.0	7	false
741	13.0	42	false
742	13.0	45	false
743	13.0	38	false
744	13.0	23	false
745	13.0	33	false
746	13.0	41	false
747	13.0	50	false
748	13.0	21	false
749	13.0	12	false
750	13.0	28	false
751	13.0	7	false
752	13.0	45	false
753	13.0	37	false
754	13.0	15	false
755	13.0	48	false
756	13.0	15	false
757	13.0	12	false
758	13.0	43	false
759	13.0	41	false
760	13.0	6	false
761	13.0	21	false
762	13.0	10	false
763	13.0	9	false
764	13.0	36	false
765	13.0	22	false
766	13.0	48	false
767	13.0	36	false
768	13.0	25	false
769	13.0	40	false
770	12.0	44	false
771	12.0	36	false
772	12.0	15	false
773	12.0	6	false
774	12.0	3	false
775	12.0	29	false
776	12.0	12	false
777	12.0	10	false
778	12.0	12	false
779	12.0	31	false
