MEASURE USED:
max - lru_order
where max = 10000
lru_size  =  3000

hit rate = 8.176820318913405


max value is 1996045
item	value	weight	take
568	9432	4	true
569	9431	3	true
570	9430	33	false
571	9429	5	false
572	9428	28	false
573	9427	19	false
574	9426	9	false
575	9425	50	false
576	9424	9	false
577	9423	43	false
578	9422	37	false
579	9421	9	false
580	9420	40	false
581	9419	1	true
582	9418	46	false
583	9417	41	false
584	9416	28	false
585	9415	47	false
586	9414	39	false
587	9413	22	false
588	9412	13	false
589	9411	23	false
590	9410	9	false
591	9409	38	false
592	9408	46	false
593	9407	46	false
594	9406	32	false
595	9405	25	false
596	9404	15	false
597	9403	7	false
598	9402	28	false
599	9401	48	false
600	9400	5	false
601	9399	41	false
602	9398	43	false
603	9397	21	false
604	9396	26	false
605	9395	1	true
606	9394	28	false
607	9393	8	false
608	9392	43	false
609	9391	17	false
610	9390	11	false
611	9389	44	false
612	9388	13	false
613	9387	28	false
614	9386	4	true
615	9385	20	false
616	9384	17	false
617	9383	23	false
618	9382	14	false
619	9381	10	false
620	9380	11	false
621	9379	46	false
622	9378	17	false
623	9377	23	false
624	9376	39	false
625	9375	14	false
626	9374	37	false
627	9373	31	false
628	9372	45	false
629	9371	22	false
630	9370	41	false
631	9369	5	false
632	9368	33	false
633	9367	10	false
634	9366	34	false
635	9365	49	false
636	9364	11	false
637	9363	30	false
638	9362	41	false
639	9361	19	false
640	9360	22	false
641	9359	48	false
642	9358	24	false
643	9357	35	false
644	9356	26	false
645	9355	4	true
646	9354	38	false
647	9353	38	false
648	9352	49	false
649	9351	16	false
650	9350	37	false
651	9349	41	false
652	9348	25	false
653	9347	36	false
654	9346	42	false
655	9345	46	false
656	9344	17	false
657	9343	30	false
658	9342	13	false
659	9341	30	false
660	9340	24	false
661	9339	43	false
662	9338	24	false
663	9337	16	false
664	9336	45	false
665	9335	12	false
666	9334	42	false
667	9333	19	false
668	9332	28	false
669	9331	2	true
670	9330	12	false
671	9329	6	false
672	9328	48	false
673	9327	3	true
674	9326	28	false
675	9325	10	false
676	9324	27	false
677	9323	22	false
678	9322	30	false
679	9321	29	false
680	9320	24	false
681	9319	2	true
682	9318	22	false
683	9317	24	false
684	9316	23	false
685	9315	9	false
686	9314	49	false
687	9313	13	false
688	9312	6	false
689	9311	35	false
690	9310	27	false
691	9309	26	false
692	9308	48	false
693	9307	48	false
694	9306	38	false
695	9305	11	false
696	9304	28	false
697	9303	2	true
698	9302	36	false
699	9301	2	true
700	9300	14	false
701	9299	33	false
702	9298	46	false
703	9297	20	false
704	9296	16	false
705	9295	40	false
706	9294	24	false
707	9293	39	false
708	9292	39	false
709	9291	8	false
710	9290	25	false
711	9289	27	false
712	9288	35	false
713	9287	46	false
714	9286	6	false
715	9285	45	false
716	9284	6	false
717	9283	13	false
718	9282	11	false
719	9281	19	false
720	9280	13	false
721	9279	22	false
722	9278	25	false
723	9277	15	false
724	9276	3	true
725	9275	48	false
726	9274	49	false
727	9273	21	false
728	9272	11	false
729	9271	23	false
730	9270	14	false
731	9269	39	false
732	9268	15	false
733	9267	21	false
734	9266	47	false
735	9265	48	false
736	9264	25	false
737	9263	34	false
738	9262	49	false
739	9261	42	false
740	9260	7	false
741	9259	42	false
742	9258	45	false
743	9257	38	false
744	9256	23	false
745	9255	33	false
746	9254	41	false
747	9253	50	false
748	9252	21	false
749	9251	12	false
750	9250	28	false
751	9249	7	false
752	9248	45	false
753	9247	37	false
754	9246	15	false
755	9245	48	false
756	9244	15	false
757	9243	12	false
758	9242	43	false
759	9241	41	false
760	9240	6	false
761	9239	21	false
762	9238	10	false
763	9237	9	false
764	9236	36	false
765	9235	22	false
766	9234	48	false
767	9233	36	false
768	9232	25	false
769	9231	40	false
770	9230	44	false
771	9229	36	false
772	9228	15	false
773	9227	6	false
774	9226	3	true
775	9225	29	false
776	9224	12	false
777	9223	10	false
778	9222	12	false
779	9221	31	false
780	9220	24	false
781	9219	9	false
782	9218	15	false
783	9217	29	false
784	9216	45	false
785	9215	27	false
786	9214	34	false
787	9213	34	false
788	9212	16	false
789	9211	6	false
790	9210	10	false
791	9209	47	false
792	9208	13	false
793	9207	3	true
794	9206	43	false
795	9205	7	false
796	9204	37	false
797	9203	23	false
798	9202	21	false
799	9201	33	false
800	9200	47	false
801	9199	47	false
802	9198	50	false
803	9197	11	false
804	9196	49	false
805	9195	17	false
806	9194	27	false
807	9193	40	false
808	9192	2	true
809	9191	28	false
810	9190	37	false
811	9189	12	false
812	9188	21	false
813	9187	16	false
814	9186	42	false
815	9185	21	false
816	9184	11	false
817	9183	1	true
818	9182	18	false
819	9181	27	false
820	9180	43	false
821	9179	14	false
822	9178	3	true
823	9177	22	false
824	9176	35	false
825	9175	38	false
826	9174	32	false
827	9173	47	false
828	9172	38	false
829	9171	1	true
830	9170	18	false
831	9169	4	true
832	9168	19	false
833	9167	35	false
834	9166	34	false
835	9165	29	false
836	9164	50	false
837	9163	35	false
838	9162	40	false
839	9161	19	false
840	9160	38	false
841	9159	39	false
842	9158	13	false
843	9157	32	false
844	9156	31	false
845	9155	47	false
846	9154	18	false
847	9153	8	false
848	9152	29	false
849	9151	43	false
850	9150	8	false
851	9149	18	false
852	9148	12	false
853	9147	24	false
854	9146	6	false
855	9145	42	false
856	9144	34	false
857	9143	24	false
858	9142	23	false
859	9141	6	false
860	9140	24	false
861	9139	22	false
862	9138	28	false
863	9137	46	false
864	9136	18	false
865	9135	16	false
866	9134	3	true
867	9133	26	false
868	9132	4	true
869	9131	34	false
870	9130	46	false
871	9129	36	false
872	9128	27	false
873	9127	25	false
874	9126	46	false
875	9125	7	false
876	9124	18	false
877	9123	27	false
878	9122	9	false
879	9121	46	false
880	9120	41	false
881	9119	24	false
882	9118	3	true
883	9117	17	false
884	9116	11	false
885	9115	32	false
886	9114	36	false
887	9113	28	false
888	9112	47	false
889	9111	24	false
890	9110	16	false
891	9109	36	false
892	9108	19	false
893	9107	2	true
894	9106	15	false
895	9105	38	false
896	9104	1	true
897	9103	18	false
898	9102	29	false
899	9101	16	false
900	9100	7	false
901	9099	5	false
902	9098	37	false
903	9097	2	true
904	9096	2	true
905	9095	39	false
906	9094	10	false
907	9093	21	false
908	9092	34	false
909	9091	4	true
910	9090	28	false
911	9089	28	false
912	9088	3	true
913	9087	35	false
914	9086	48	false
915	9085	33	false
916	9084	23	false
917	9083	25	false
918	9082	13	false
919	9081	48	false
920	9080	45	false
921	9079	47	false
922	9078	38	false
923	9077	39	false
924	9076	48	false
925	9075	5	false
926	9074	45	false
927	9073	44	false
928	9072	28	false
929	9071	22	false
930	9070	27	false
931	9069	16	false
932	9068	33	false
933	9067	8	false
934	9066	31	false
935	9065	41	false
936	9064	5	false
937	9063	2	true
938	9062	48	false
939	9061	38	false
940	9060	34	false
941	9059	2	true
942	9058	5	false
943	9057	47	false
944	9056	15	false
945	9055	13	false
946	9054	19	false
947	9053	4	true
948	9052	29	false
949	9051	27	false
950	9050	35	false
951	9049	46	false
952	9048	20	false
953	9047	17	false
954	9046	9	false
955	9045	47	false
956	9044	36	false
957	9043	11	false
958	9042	16	false
959	9041	45	false
960	9040	13	false
961	9039	26	false
962	9038	47	false
963	9037	15	false
964	9036	46	false
965	9035	45	false
966	9034	6	false
967	9033	44	false
968	9032	42	false
969	9031	37	false
970	9030	14	false
971	9029	8	false
972	9028	21	false
973	9027	4	true
974	9026	48	false
975	9025	49	false
976	9024	26	false
977	9023	24	false
978	9022	14	false
979	9021	47	false
980	9020	19	false
981	9019	28	false
982	9018	50	false
983	9017	9	false
984	9016	1	true
985	9015	23	false
986	9014	19	false
987	9013	47	false
988	9012	19	false
989	9011	19	false
990	9010	41	false
991	9009	26	false
992	9008	17	false
993	9007	26	false
994	9006	48	false
995	9005	49	false
996	9004	16	false
997	9003	15	false
998	9002	6	false
999	9001	46	false
1000	9000	48	false
1001	8999	1	true
1002	8998	38	false
1003	8997	4	true
1004	8996	41	false
1005	8995	30	false
1006	8994	33	false
1007	8993	3	true
1008	8992	36	false
1009	8991	10	false
1010	8990	44	false
1011	8989	35	false
1012	8988	7	false
1013	8987	15	false
1014	8986	25	false
1015	8985	19	false
1016	8984	24	false
1017	8983	10	false
1018	8982	39	false
1019	8981	5	false
1020	8980	9	false
1021	8979	21	false
1022	8978	33	false
1023	8977	34	false
1024	8976	15	false
1025	8975	5	false
1026	8974	15	false
1027	8973	3	true
1028	8972	17	false
1029	8971	20	false
1030	8970	27	false
1031	8969	24	false
1032	8968	16	false
1033	8967	28	false
1034	8966	39	false
1035	8965	14	false
1036	8964	12	false
1037	8963	16	false
1038	8962	14	false
1039	8961	23	false
1040	8960	14	false
1041	8959	29	false
1042	8958	30	false
1043	8957	6	false
1044	8956	31	false
1045	8955	50	false
1046	8954	50	false
1047	8953	39	false
1048	8952	34	false
1049	8951	11	false
1050	8950	47	false
1051	8949	1	true
1052	8948	20	false
1053	8947	13	false
1054	8946	34	false
1055	8945	2	true
1056	8944	7	false
1057	8943	8	false
1058	8942	28	false
1059	8941	43	false
1060	8940	21	false
1061	8939	30	false
1062	8938	48	false
1063	8937	9	false
1064	8936	2	true
1065	8935	13	false
1066	8934	16	false
1067	8933	48	false
1068	8932	16	false
1069	8931	15	false
1070	8930	19	false
1071	8929	35	false
1072	8928	41	false
1073	8927	14	false
1074	8926	25	false
1075	8925	2	true
1076	8924	26	false
1077	8923	44	false
1078	8922	50	false
1079	8921	37	false
1080	8920	39	false
1081	8919	2	true
1082	8918	34	false
1083	8917	3	true
1084	8916	3	true
1085	8915	20	false
1086	8914	18	false
1087	8913	49	false
1088	8912	14	false
1089	8911	20	false
1090	8910	46	false
1091	8909	24	false
1092	8908	18	false
1093	8907	4	true
1094	8906	35	false
1095	8905	42	false
1096	8904	32	false
1097	8903	1	true
1098	8902	35	false
1099	8901	12	false
1100	8900	6	false
1101	8899	43	false
1102	8898	50	false
1103	8897	18	false
1104	8896	21	false
1105	8895	29	false
1106	8894	36	false
1107	8893	26	false
1108	8892	29	false
1109	8891	23	false
1110	8890	39	false
1111	8889	41	false
1112	8888	34	false
1113	8887	13	false
1114	8886	29	false
1115	8885	3	true
1116	8884	24	false
1117	8883	6	false
1118	8882	11	false
1119	8881	27	false
1120	8880	42	false
1121	8879	19	false
1122	8878	41	false
1123	8877	50	false
1124	8876	42	false
1125	8875	30	false
1126	8874	39	false
1127	8873	33	false
1128	8872	43	false
1129	8871	14	false
1130	8870	34	false
1131	8869	36	false
1132	8868	49	false
1133	8867	28	false
1134	8866	7	false
1135	8865	13	false
1136	8864	16	false
1137	8863	30	false
1138	8862	47	false
1139	8861	34	false
1140	8860	34	false
1141	8859	47	false
1142	8858	11	false
1143	8857	38	false
1144	8856	6	false
1145	8855	6	false
1146	8854	1	true
1147	8853	38	false
1148	8852	11	false
1149	8851	19	false
1150	8850	3	true
1151	8849	7	false
1152	8848	10	false
1153	8847	46	false
1154	8846	33	false
1155	8845	44	false
1156	8844	3	true
1157	8843	10	false
1158	8842	6	false
1159	8841	3	true
1160	8840	14	false
1161	8839	47	false
1162	8838	46	false
1163	8837	21	false
1164	8836	9	false
1165	8835	32	false
1166	8834	12	false
1167	8833	40	false
1168	8832	47	false
1169	8831	38	false
1170	8830	10	false
1171	8829	12	false
1172	8828	19	false
1173	8827	16	false
1174	8826	40	false
1175	8825	50	false
1176	8824	7	false
1177	8823	14	false
1178	8822	30	false
1179	8821	41	false
1180	8820	6	false
1181	8819	46	false
1182	8818	23	false
1183	8817	2	true
1184	8816	35	false
1185	8815	42	false
1186	8814	35	false
1187	8813	11	false
1188	8812	50	false
1189	8811	18	false
1190	8810	2	true
1191	8809	37	false
1192	8808	36	false
1193	8807	43	false
1194	8806	15	false
1195	8805	13	false
1196	8804	28	false
1197	8803	24	false
1198	8802	21	false
1199	8801	13	false
1200	8800	35	false
1201	8799	14	false
1202	8798	14	false
1203	8797	16	false
1204	8796	39	false
1205	8795	42	false
1206	8794	17	false
1207	8793	44	false
1208	8792	32	false
1209	8791	33	false
1210	8790	17	false
1211	8789	4	true
1212	8788	19	false
1213	8787	15	false
1214	8786	40	false
1215	8785	4	true
1216	8784	17	false
1217	8783	7	false
1218	8782	2	true
1219	8781	34	false
1220	8780	27	false
1221	8779	1	true
1222	8778	34	false
1223	8777	39	false
1224	8776	39	false
1225	8775	28	false
1226	8774	39	false
1227	8773	10	false
1228	8772	3	true
1229	8771	35	false
1230	8770	18	false
1231	8769	44	false
1232	8768	43	false
1233	8767	39	false
1234	8766	6	false
1235	8765	44	false
1236	8764	2	true
1237	8763	36	false
1238	8762	32	false
1239	8761	40	false
1240	8760	31	false
1241	8759	41	false
1242	8758	32	false
1243	8757	26	false
1244	8756	42	false
1245	8755	8	false
1246	8754	16	false
1247	8753	30	false
1248	8752	46	false
1249	8751	22	false
1250	8750	35	false
1251	8749	50	false
1252	8748	2	true
1253	8747	50	false
1254	8746	34	false
1255	8745	14	false
1256	8744	37	false
1257	8743	49	false
1258	8742	25	false
1259	8741	16	false
1260	8740	9	false
1261	8739	8	false
1262	8738	6	false
1263	8737	45	false
1264	8736	45	false
1265	8735	50	false
1266	8734	41	false
1267	8733	6	false
1268	8732	24	false
1269	8731	17	false
1270	8730	6	false
1271	8729	33	false
1272	8728	12	false
1273	8727	17	false
1274	8726	36	false
1275	8725	42	false
1276	8724	10	false
1277	8723	10	false
1278	8722	48	false
1279	8721	34	false
1280	8720	17	false
1281	8719	38	false
1282	8718	35	false
1283	8717	5	false
1284	8716	10	false
1285	8715	34	false
1286	8714	13	false
1287	8713	24	false
1288	8712	31	false
1289	8711	47	false
1290	8710	31	false
1291	8709	29	false
1292	8708	2	true
1293	8707	49	false
1294	8706	29	false
1295	8705	24	false
1296	8704	37	false
1297	8703	31	false
1298	8702	43	false
1299	8701	44	false
1300	8700	44	false
1301	8699	11	false
1302	8698	14	false
1303	8697	30	false
1304	8696	44	false
1305	8695	26	false
1306	8694	26	false
1307	8693	14	false
1308	8692	41	false
1309	8691	33	false
1310	8690	16	false
1311	8689	43	false
1312	8688	1	true
1313	8687	48	false
1314	8686	23	false
1315	8685	2	true
1316	8684	6	false
1317	8683	25	false
1318	8682	2	true
1319	8681	15	false
1320	8680	42	false
1321	8679	48	false
1322	8678	10	false
1323	8677	15	false
1324	8676	34	false
1325	8675	34	false
1326	8674	48	false
1327	8673	44	false
1328	8672	36	false
1329	8671	19	false
1330	8670	45	false
1331	8669	29	false
1332	8668	29	false
1333	8667	46	false
1334	8666	14	false
1335	8665	39	false
1336	8664	20	false
1337	8663	19	false
1338	8662	50	false
1339	8661	19	false
1340	8660	3	true
1341	8659	25	false
1342	8658	39	false
1343	8657	9	false
1344	8656	16	false
1345	8655	2	true
1346	8654	48	false
1347	8653	13	false
1348	8652	26	false
1349	8651	50	false
1350	8650	13	false
1351	8649	20	false
1352	8648	41	false
1353	8647	41	false
1354	8646	26	false
1355	8645	31	false
1356	8644	49	false
1357	8643	1	true
1358	8642	37	false
1359	8641	37	false
1360	8640	29	false
1361	8639	43	false
1362	8638	22	false
1363	8637	31	false
1364	8636	50	false
1365	8635	26	false
1366	8634	2	true
1367	8633	21	false
1368	8632	23	false
1369	8631	41	false
1370	8630	50	false
1371	8629	24	false
1372	8628	11	false
1373	8627	41	false
1374	8626	31	false
1375	8625	26	false
1376	8624	35	false
1377	8623	14	false
1378	8622	19	false
1379	8621	44	false
1380	8620	22	false
1381	8619	44	false
1382	8618	12	false
1383	8617	36	false
1384	8616	18	false
1385	8615	1	true
1386	8614	4	true
1387	8613	27	false
1388	8612	30	false
1389	8611	41	false
1390	8610	39	false
1391	8609	18	false
1392	8608	36	false
1393	8607	49	false
1394	8606	21	false
1395	8605	12	false
1396	8604	34	false
1397	8603	41	false
1398	8602	28	false
1399	8601	9	false
1400	8600	41	false
1401	8599	46	false
1402	8598	21	false
1403	8597	49	false
1404	8596	25	false
1405	8595	5	false
1406	8594	47	false
1407	8593	5	false
1408	8592	23	false
1409	8591	21	false
1410	8590	27	false
1411	8589	17	false
1412	8588	42	false
1413	8587	3	true
1414	8586	33	false
1415	8585	13	false
1416	8584	43	false
1417	8583	34	false
1418	8582	34	false
1419	8581	33	false
1420	8580	38	false
1421	8579	17	false
1422	8578	36	false
1423	8577	46	false
1424	8576	37	false
1425	8575	3	true
1426	8574	36	false
1427	8573	15	false
1428	8572	29	false
1429	8571	30	false
1430	8570	10	false
1431	8569	26	false
1432	8568	40	false
1433	8567	39	false
1434	8566	13	false
1435	8565	34	false
1436	8564	35	false
1437	8563	49	false
1438	8562	49	false
1439	8561	34	false
